squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
0.755,0.02,0.0,1.0,0.626,0.094,0.222,0.778,0.484,0.0,1.0,0.431,0.9,0.951,0.0,0.7,0.755
0.808,0.384,1.0,1.0,0.98,0.394,0.778,0.556,0.806,1.0,0.0,0.365,0.244,0.031,1.0,0.2,0.808
0.557,0.576,0.0,1.0,0.182,0.345,0.556,0.778,1.0,0.0,0.0,0.294,0.885,0.039,1.0,0.9,0.557
0.323,0.465,0.0,0.0,0.051,0.279,1.0,0.333,0.71,0.0,1.0,0.066,0.714,0.288,0.0,0.3,0.322
0.704,0.182,1.0,1.0,0.899,0.381,0.222,0.667,0.0,1.0,0.0,0.844,0.243,0.213,1.0,0.4,0.705
0.392,0.354,0.0,1.0,0.162,0.395,0.778,0.556,0.71,0.0,1.0,0.201,0.455,0.73,0.0,0.1,0.392
0.586,0.091,1.0,1.0,0.99,0.065,1.0,0.889,0.161,1.0,1.0,0.593,0.945,0.831,0.0,0.5,0.587
0.869,1.0,1.0,0.0,0.101,0.982,0.222,0.333,0.419,1.0,0.0,0.633,0.475,0.616,0.0,1.0,0.869
0.515,0.02,0.0,0.0,0.606,0.09,0.778,0.222,0.71,1.0,1.0,0.063,0.579,0.786,1.0,0.5,0.515
0.396,0.414,0.0,0.0,0.141,0.711,0.444,0.778,1.0,1.0,1.0,0.52,0.534,0.546,1.0,0.3,0.396
0.235,0.202,0.0,1.0,0.899,0.911,0.556,0.778,0.097,1.0,0.0,0.07,0.085,0.649,1.0,1.0,0.236
0.965,0.737,1.0,0.0,0.202,0.921,0.333,0.111,0.677,1.0,1.0,0.541,0.117,0.684,1.0,0.9,0.965
0.191,0.303,1.0,0.0,0.04,0.075,0.111,0.889,0.581,0.0,0.0,0.539,0.443,0.304,0.0,0.4,0.191
0.13,0.434,1.0,0.0,0.768,0.405,0.778,0.333,0.452,1.0,0.0,0.174,0.072,0.536,0.0,0.0,0.131
0.798,0.02,0.0,1.0,0.687,0.548,1.0,0.444,0.903,0.0,1.0,0.887,0.712,0.156,0.0,0.7,0.798
0.76,0.596,1.0,0.0,0.667,0.065,0.556,0.889,0.613,1.0,1.0,0.488,0.028,0.316,1.0,0.5,0.76
0.641,0.879,0.0,1.0,0.051,0.617,0.222,0.889,0.677,1.0,1.0,0.305,0.013,0.696,0.0,0.9,0.641
0.994,0.303,1.0,1.0,0.152,0.963,0.667,0.778,0.742,1.0,1.0,0.326,0.63,0.282,1.0,0.8,0.994
0.259,0.364,1.0,1.0,0.162,0.228,0.222,0.0,0.839,0.0,0.0,0.826,0.256,0.069,0.0,0.6,0.26
0.417,0.424,1.0,1.0,0.091,0.808,0.889,0.444,0.871,1.0,1.0,0.295,0.957,0.524,1.0,0.5,0.418
0.287,0.636,1.0,1.0,0.495,0.977,0.222,0.333,0.613,1.0,1.0,0.986,0.267,0.256,1.0,0.0,0.288
0.924,0.111,0.0,0.0,0.778,0.72,0.222,0.667,0.323,0.0,0.0,0.751,0.906,0.88,1.0,0.1,0.924
0.332,0.636,1.0,0.0,0.646,0.917,0.222,0.111,0.935,1.0,1.0,0.243,0.072,0.702,0.0,0.1,0.332
0.347,0.465,0.0,0.0,0.727,0.353,0.0,0.333,0.968,0.0,1.0,0.959,0.66,0.802,0.0,0.2,0.347
0.133,0.505,0.0,0.0,0.899,0.88,0.333,0.556,0.097,0.0,0.0,0.288,0.115,0.893,1.0,0.4,0.133
0.208,0.556,0.0,0.0,0.535,0.854,0.444,0.889,0.903,0.0,0.0,0.998,0.814,0.633,1.0,1.0,0.208
0.951,0.455,0.0,1.0,0.02,0.094,0.667,0.889,0.129,0.0,0.0,0.062,0.122,0.253,0.0,1.0,0.951
0.06,0.717,1.0,0.0,0.131,0.084,0.111,0.556,0.419,1.0,1.0,0.331,0.363,0.217,0.0,0.2,0.06
0.118,0.424,0.0,0.0,0.545,0.462,0.556,0.444,0.097,1.0,0.0,0.529,0.823,0.328,0.0,1.0,0.118
0.52,0.061,1.0,1.0,0.727,0.204,1.0,0.333,0.839,1.0,1.0,0.186,0.205,0.509,0.0,0.5,0.521
0.258,0.98,1.0,0.0,0.919,0.204,0.111,0.333,0.097,0.0,1.0,0.98,0.957,0.018,1.0,1.0,0.259
0.854,0.394,1.0,1.0,0.535,0.003,0.222,0.0,1.0,1.0,0.0,0.306,0.893,0.213,1.0,0.2,0.855
0.113,0.778,0.0,0.0,0.788,0.738,0.0,0.444,0.613,1.0,1.0,0.69,0.9,0.661,0.0,0.0,0.114
0.975,0.889,1.0,1.0,0.98,0.782,0.111,0.444,0.774,1.0,0.0,0.539,0.09,0.32,0.0,0.0,0.976
0.765,0.465,1.0,0.0,0.081,0.903,0.111,0.889,0.581,1.0,0.0,0.286,0.313,0.98,0.0,0.1,0.765
0.261,0.283,0.0,0.0,0.616,0.665,0.889,0.667,0.097,0.0,1.0,0.792,0.019,0.91,1.0,0.9,0.261
0.242,0.869,1.0,0.0,0.909,0.731,0.333,0.667,0.258,0.0,0.0,0.666,0.715,0.664,0.0,0.3,0.242
0.362,0.071,0.0,1.0,0.232,0.668,0.667,0.556,0.0,0.0,1.0,0.668,0.653,0.776,1.0,0.5,0.362
