aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.327,0.306,0.038,0.577,0.054,0.04,0.922,0.085,0.033,0.2,0.0,0.27,0.811,0.386,0.7,0.629,0.849,0.8,0.68,0.222,1.0
0.459,0.71,0.01,0.67,0.015,0.608,0.756,0.33,0.6,0.65,0.65,0.5,0.101,0.659,0.3,0.538,0.402,0.8,0.54,0.556,1.0
0.2,0.471,0.038,0.117,0.062,0.488,0.589,0.01,0.66,0.05,0.003,0.39,0.714,0.379,0.6,0.838,0.885,0.7,0.88,0.111,0.0
0.269,0.381,0.038,0.599,0.008,0.833,0.033,0.83,0.72,0.71,0.71,0.08,0.071,0.44,0.4,0.152,0.215,0.2,0.9,0.556,1.0
0.182,0.816,0.029,0.04,0.046,0.308,0.767,0.285,0.407,0.13,0.001,0.585,0.34,0.379,0.3,0.282,0.302,0.2,0.12,0.222,1.0
0.186,0.486,0.029,0.583,0.023,0.092,0.478,0.69,0.073,0.67,0.67,0.675,0.492,0.645,0.6,0.453,0.678,0.8,0.38,0.222,1.0
0.467,0.19,0.01,0.273,0.031,0.147,0.689,0.94,0.22,0.13,0.007,0.105,0.938,0.608,0.7,0.756,0.355,1.0,0.48,0.889,0.0
0.778,0.667,0.038,0.134,0.008,0.717,0.111,0.93,0.573,0.16,0.005,0.985,0.688,0.618,0.1,0.889,0.906,0.8,0.16,0.778,0.0
0.119,0.824,0.01,0.144,0.038,0.362,0.856,0.725,0.653,0.35,0.002,0.835,0.739,0.628,0.4,0.39,0.625,0.8,0.5,0.889,1.0
0.044,0.563,0.019,0.277,0.054,0.737,0.544,0.41,0.827,0.83,0.83,0.545,0.242,0.498,1.0,0.507,0.01,0.3,0.62,0.111,1.0
0.648,0.123,0.001,0.545,0.038,0.662,0.167,0.3,0.86,0.04,0.008,0.725,0.427,0.427,0.6,0.923,0.976,0.5,0.66,0.667,0.0
0.267,0.737,0.038,0.17,0.015,0.012,0.844,0.085,0.387,0.52,0.52,0.055,0.928,0.509,0.9,0.359,0.163,0.8,0.96,0.889,1.0
